
   INFO  Server running on [http://127.0.0.1:8099].  

  Press Ctrl+C to stop the server
  2026-03-05 09:39:31 /build/assets/app-Cob1zxeE.css ....................................................... ~ 0.85ms
  2026-03-05 09:39:31 /build/assets/app-DpmNv1u0.js ....................................................... ~ 12.14ms
  2026-03-05 09:39:31 /icons/logo.png ...................................................................... ~ 0.22ms
  2026-03-05 09:39:31 /icons/unila.png .................................................................... ~ 50.11ms
  2026-03-05 09:39:33 /admin/jurusan/11/edit .................................................................. ~ 9dt
  2026-03-05 09:39:42 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.23ms
  2026-03-05 09:39:42 /build/assets/app-Cob1zxeE.css ....................................................... ~ 6.97ms
  2026-03-05 09:39:42 /icons/unila.png ..................................................................... ~ 0.19ms
  2026-03-05 09:39:42 /icons/logo.png .................................................................... ~ 102.32ms
  2026-03-05 09:39:43 /admin/kritik-saran ..................................................................... ~ 7dt
  2026-03-05 09:39:50 /build/assets/app-Cob1zxeE.css ....................................................... ~ 0.29ms
  2026-03-05 09:39:50 /build/assets/app-DpmNv1u0.js ....................................................... ~ 11.43ms
  2026-03-05 09:39:50 /icons/logo.png ...................................................................... ~ 0.75ms
  2026-03-05 09:39:50 /icons/unila.png .................................................................... ~ 14.65ms
  2026-03-05 09:39:51 /admin/kritik-saran/1 .................................................................. ~ 12dt
  2026-03-05 09:40:04 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.29ms
  2026-03-05 09:40:04 /build/assets/app-Cob1zxeE.css ....................................................... ~ 7.20ms
  2026-03-05 09:40:05 /icons/logo.png ...................................................................... ~ 0.24ms
  2026-03-05 09:40:05 /icons/unila.png .................................................................... ~ 57.71ms
  2026-03-05 09:40:06 /admin/layanan .......................................................................... ~ 5dt
  2026-03-05 09:40:12 /build/assets/app-Cob1zxeE.css ....................................................... ~ 0.19ms
  2026-03-05 09:40:12 /build/assets/app-DpmNv1u0.js ........................................................ ~ 9.31ms
  2026-03-05 09:40:12 /icons/logo.png ...................................................................... ~ 0.19ms
  2026-03-05 09:40:12 /icons/unila.png .................................................................... ~ 24.79ms
  2026-03-05 09:40:12 /admin/layanan/create .................................................................. ~ 21dt
  2026-03-05 09:40:34 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.20ms
  2026-03-05 09:40:34 /build/assets/app-Cob1zxeE.css ....................................................... ~ 8.36ms
  2026-03-05 09:40:34 /build/assets/tiptap-editor-BEIQFI6w.js .............................................. ~ 0.26ms
  2026-03-05 09:40:34 /build/assets/index-Bw3-YJgB.js ...................................................... ~ 7.18ms
  2026-03-05 09:40:34 /icons/logo.png ...................................................................... ~ 0.85ms
  2026-03-05 09:40:34 /icons/unila.png .................................................................... ~ 15.42ms
  2026-03-05 09:40:35 /admin/layanan/pedoman-placeholder ...................................................... ~ 5dt
  2026-03-05 09:40:40 /build/assets/app-Cob1zxeE.css ....................................................... ~ 0.29ms
  2026-03-05 09:40:40 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.26ms
  2026-03-05 09:40:40 /icons/logo.png ...................................................................... ~ 0.21ms
  2026-03-05 09:40:40 /example/CONTOH%20SERTIFIKAT_page-0001.jpg .......................................... ~ 16.80ms
  2026-03-05 09:40:40 /icons/unila.png .................................................................... ~ 22.67ms
  2026-03-05 09:40:41 /admin/layanan/15 ....................................................................... ~ 1dt
  2026-03-05 09:40:44 /admin/layanan/15/edit ................................................................. ~ 27dt
  2026-03-05 09:41:11 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.33ms
  2026-03-05 09:41:11 /build/assets/app-Cob1zxeE.css ....................................................... ~ 7.43ms
  2026-03-05 09:41:11 /icons/logo.png ...................................................................... ~ 0.31ms
  2026-03-05 09:41:11 /icons/unila.png .................................................................... ~ 11.88ms
  2026-03-05 09:41:12 /build/assets/tiptap-editor-BEIQFI6w.js .............................................. ~ 0.18ms
  2026-03-05 09:41:12 /build/assets/index-Bw3-YJgB.js ...................................................... ~ 7.81ms
  2026-03-05 09:41:12 /admin/layanan/15/edit .................................................................. ~ 5dt
  2026-03-05 09:41:17 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.16ms
  2026-03-05 09:41:17 /build/assets/app-Cob1zxeE.css ....................................................... ~ 6.37ms
  2026-03-05 09:41:17 /icons/unila.png ..................................................................... ~ 0.29ms
  2026-03-05 09:41:17 /icons/logo.png ...................................................................... ~ 9.45ms
  2026-03-05 09:41:17 /build/assets/tiptap-editor-BEIQFI6w.js .............................................. ~ 0.26ms
  2026-03-05 09:41:17 /build/assets/index-Bw3-YJgB.js ...................................................... ~ 8.36ms
  2026-03-05 09:41:18 /admin/legalisir ....................................................................... ~ 24dt
  2026-03-05 09:41:44 /build/assets/app-Cob1zxeE.css ....................................................... ~ 0.17ms
  2026-03-05 09:41:44 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.23ms
  2026-03-05 09:41:44 /icons/logo.png ...................................................................... ~ 0.32ms
  2026-03-05 09:41:44 /icons/unila.png .................................................................... ~ 15.53ms
  2026-03-05 09:41:45 /admin/panduan-pengguna ................................................................ ~ 11dt
  2026-03-05 09:41:56 /build/assets/app-Cob1zxeE.css ....................................................... ~ 0.36ms
  2026-03-05 09:41:56 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.22ms
  2026-03-05 09:41:57 /icons/unila.png ..................................................................... ~ 0.22ms
  2026-03-05 09:41:57 /icons/logo.png ..................................................................... ~ 15.32ms
  2026-03-05 09:41:58 /admin/panduan-pengguna/create .......................................................... ~ 9dt
  2026-03-05 09:42:07 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.36ms
  2026-03-05 09:42:07 /build/assets/app-Cob1zxeE.css ....................................................... ~ 6.91ms
  2026-03-05 09:42:08 /icons/logo.png ...................................................................... ~ 0.37ms
  2026-03-05 09:42:08 /icons/unila.png ................................................................... ~ 144.50ms
  2026-03-05 09:42:08 /admin/panduan-pengguna/1/edit .......................................................... ~ 3dt
  2026-03-05 09:42:12 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.21ms
  2026-03-05 09:42:12 /build/assets/app-Cob1zxeE.css ....................................................... ~ 9.06ms
  2026-03-05 09:42:12 /icons/unila.png ..................................................................... ~ 0.41ms
  2026-03-05 09:42:12 /icons/logo.png ..................................................................... ~ 12.24ms
  2026-03-05 09:42:13 /admin/permohonan ...................................................................... ~ 11dt
  2026-03-05 09:42:24 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.40ms
  2026-03-05 09:42:24 /build/assets/app-Cob1zxeE.css ....................................................... ~ 6.41ms
  2026-03-05 09:42:24 /icons/unila.png ..................................................................... ~ 0.30ms
  2026-03-05 09:42:24 /icons/logo.png ...................................................................... ~ 8.85ms
  2026-03-05 09:42:25 /admin/permohonan/5 .................................................................... ~ 16dt
  2026-03-05 09:42:42 /build/assets/app-Cob1zxeE.css ....................................................... ~ 0.21ms
  2026-03-05 09:42:42 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.31ms
  2026-03-05 09:42:42 /icons/logo.png ...................................................................... ~ 1.20ms
  2026-03-05 09:42:42 /icons/unila.png .................................................................... ~ 17.93ms
  2026-03-05 09:42:42 /admin/prodi ............................................................................ ~ 6dt
  2026-03-05 09:42:49 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.67ms
  2026-03-05 09:42:49 /build/assets/app-Cob1zxeE.css ....................................................... ~ 7.05ms
  2026-03-05 09:42:49 /icons/logo.png ...................................................................... ~ 0.26ms
  2026-03-05 09:42:49 /icons/unila.png .................................................................... ~ 11.16ms
  2026-03-05 09:42:50 /admin/prodi/create .................................................................... ~ 12dt
  2026-03-05 09:43:03 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.26ms
  2026-03-05 09:43:03 /build/assets/app-Cob1zxeE.css ....................................................... ~ 7.17ms
  2026-03-05 09:43:03 /icons/logo.png .................................................................... ~ 113.12ms
  2026-03-05 09:43:03 /icons/unila.png ................................................................... ~ 127.58ms
  2026-03-05 09:43:05 /admin/prodi/12/edit .................................................................... ~ 5dt
  2026-03-05 09:43:10 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.24ms
  2026-03-05 09:43:10 /build/assets/app-Cob1zxeE.css ...................................................... ~ 15.57ms
  2026-03-05 09:43:11 /icons/logo.png ...................................................................... ~ 0.22ms
  2026-03-05 09:43:11 /icons/unila.png .................................................................... ~ 10.84ms
  2026-03-05 09:43:11 /admin/roles ........................................................................... ~ 13dt
  2026-03-05 09:43:25 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.17ms
  2026-03-05 09:43:25 /build/assets/app-Cob1zxeE.css ....................................................... ~ 9.77ms
  2026-03-05 09:43:25 /icons/unila.png ..................................................................... ~ 0.54ms
  2026-03-05 09:43:25 /icons/logo.png ...................................................................... ~ 0.29ms
  2026-03-05 09:43:26 /admin/roles/create ..................................................................... ~ 7dt
  2026-03-05 09:43:33 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.27ms
  2026-03-05 09:43:33 /build/assets/app-Cob1zxeE.css ....................................................... ~ 6.78ms
  2026-03-05 09:43:34 /icons/logo.png ...................................................................... ~ 0.39ms
  2026-03-05 09:43:34 /icons/unila.png .................................................................... ~ 44.41ms
  2026-03-05 09:43:35 /admin/roles/34/edit .................................................................... ~ 9dt
  2026-03-05 09:43:44 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.38ms
  2026-03-05 09:43:44 /build/assets/app-Cob1zxeE.css ....................................................... ~ 6.99ms
  2026-03-05 09:43:44 /icons/unila.png ..................................................................... ~ 0.21ms
  2026-03-05 09:43:44 /icons/logo.png ...................................................................... ~ 0.31ms
  2026-03-05 09:43:45 /admin/template-nomor-surat ............................................................ ~ 17dt
  2026-03-05 09:44:03 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.18ms
  2026-03-05 09:44:03 /build/assets/app-Cob1zxeE.css ....................................................... ~ 6.19ms
  2026-03-05 09:44:03 /icons/logo.png ...................................................................... ~ 0.23ms
  2026-03-05 09:44:03 /icons/unila.png .................................................................... ~ 88.24ms
  2026-03-05 09:44:05 /admin/template-nomor-surat/create ..................................................... ~ 13dt
  2026-03-05 09:44:18 /login .................................................................................. ~ 1dt
  2026-03-05 09:44:18 /login .................................................................................. ~ 3dt

   INFO  Server running on [http://127.0.0.1:8099].  

  Press Ctrl+C to stop the server

  2026-03-05 09:44:21 /login .................................................................................. ~ 1dt
  2026-03-05 09:44:21 /build/assets/app-DpmNv1u0.js ........................................................... ~ 1dt
  2026-03-05 09:44:20 /build/assets/app-Cob1zxeE.css .......................................................... ~ 2dt
  2026-03-05 09:44:23 /icons/logo.png ...................................................................... ~ 0.27ms
  2026-03-05 09:44:23 /icons/unila.png .................................................................... ~ 19.15ms
  2026-03-05 09:44:23 /login .................................................................................. ~ 1dt
  2026-03-05 09:44:24 /admin/template-nomor-surat/1 ........................................................... ~ 5dt
  2026-03-05 09:44:30 /login ............................................................................. ~ 506.31ms
  2026-03-05 09:44:30 /build/assets/app-DpmNv1u0.js ........................................................ ~ 1.02ms
  2026-03-05 09:44:30 /build/assets/app-Cob1zxeE.css ...................................................... ~ 11.75ms
  2026-03-05 09:44:30 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.39ms
  2026-03-05 09:44:30 /icons/google.svg .................................................................... ~ 6.28ms
  2026-03-05 09:44:30 /build/assets/app-Cob1zxeE.css ...................................................... ~ 37.80ms
  2026-03-05 09:44:31 /icons/unila.png ..................................................................... ~ 0.22ms
  2026-03-05 09:44:31 /icons/logo.png ...................................................................... ~ 5.86ms
  2026-03-05 09:44:31 /icons/unila.png ..................................................................... ~ 3.61ms
  2026-03-05 09:44:31 /icons/logo.png ..................................................................... ~ 19.74ms
  2026-03-05 09:44:31 /admin/template-nomor-surat/1/edit ...................................................... ~ 9dt
  2026-03-05 09:44:42 /login .................................................................................. ~ 5dt
  2026-03-05 09:44:47 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.29ms
  2026-03-05 09:44:47 /build/assets/app-Cob1zxeE.css ..................................................... ~ 119.92ms
  2026-03-05 09:44:47 /admin/dashboard ....................................................................... ~ 10dt
  2026-03-05 09:44:58 /icons/logo.png .................................................................... ~ 512.59ms
  2026-03-05 09:44:58 /icons/unila.png ................................................................... ~ 521.36ms
  2026-03-05 09:44:58 /build/assets/app-Cob1zxeE.css ....................................................... ~ 0.16ms
